,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力
0,0,0,2021年09月24日09时20分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,21.88762283325196,0.1680499464273452,22.03452110290528,22.622108459472656,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.06279754638672,24.237972259521484,24.972455978393555,22.32831573486328,24.67866325378418,21.59383010864257,26.882116317749023,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
1,1,1,2021年09月24日09时20分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,22.18141746520996,0.1680499464273452,22.03452110290528,22.622108459472656,12.76563835144043,11.828405380249023,0.0001840000040829,0.0001840000040829,23.50348854064941,24.237972259521484,24.972455978393555,22.32831573486328,24.67866325378418,21.59383010864257,26.882116317749023,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
2,2,2,2021年09月24日09时20分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,22.18141746520996,0.1672665029764175,22.03452110290528,22.769004821777344,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.06279754638672,24.0910758972168,24.972455978393555,22.32831573486328,24.384870529174805,21.59383010864257,26.882116317749023,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
3,3,3,2021年09月24日09时21分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,21.88762283325196,0.1680499464273452,22.03452110290528,22.769004821777344,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.356590270996094,24.237972259521484,24.972455978393555,22.622108459472656,24.67866325378418,21.59383010864257,27.1759090423584,22.91590118408203,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
4,4,4,2021年09月24日09时21分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,22.18141746520996,0.1672665029764175,22.03452110290528,22.622108459472656,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.50348854064941,24.237972259521484,24.8255615234375,22.32831573486328,24.384870529174805,21.59383010864257,26.882116317749023,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
5,5,5,2021年09月24日09时21分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,22.18141746520996,0.1680499464273452,22.03452110290528,23.06279754638672,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.356590270996094,24.0910758972168,24.972455978393555,22.622108459472656,24.67866325378418,21.59383010864257,26.735218048095703,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
6,6,6,2021年09月24日09时22分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,22.18141746520996,0.1680499464273452,22.03452110290528,22.769004821777344,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.356590270996094,24.0910758972168,24.972455978393555,22.622108459472656,24.67866325378418,21.59383010864257,27.1759090423584,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
7,7,7,2021年09月24日09时22分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,21.88762283325196,0.1672665029764175,22.03452110290528,22.769004821777344,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.50348854064941,24.237972259521484,24.972455978393555,22.622108459472656,24.67866325378418,21.59383010864257,26.882116317749023,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
8,8,8,2021年09月24日09时22分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,22.18141746520996,0.1672665029764175,22.03452110290528,22.769004821777344,12.746511459350586,11.828405380249023,0.0001840000040829,0.0001840000040829,23.356590270996094,24.237972259521484,24.972455978393555,22.622108459472656,24.67866325378418,21.59383010864257,27.1759090423584,22.91590118408203,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
9,9,9,2021年09月24日09时23分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,21.88762283325196,0.1672665029764175,22.03452110290528,23.06279754638672,12.746511459350586,11.790152549743652,0.0001840000040829,0.0001840000040829,23.356590270996094,24.237972259521484,24.972455978393555,22.622108459472656,24.384870529174805,21.59383010864257,27.1759090423584,22.769004821777344,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999
