,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力
345,2021年11月26日08时55分00秒,1.05276048183441,0.734484016895294,0,685.945678710938,0,10.7234668731689,0.185285851359367,17.9214096069336,20.8593463897705,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,7.78553056716919,8.81380844116211,11.0172605514526,7.34484052658081,9.84208583831787,6.61035585403442,13.2207117080688,8.07932472229004,-79.9926528930664,0.009181000292301,2.33810758590698,7.39625549316406,14.4056797027588
346,2021年11月26日08时55分20秒,1.10172605514526,2.20345211029053,0,685.945678710938,0,11.3110542297363,0.185285851359367,17.9214096069336,20.5655536651611,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.49173736572266,9.84208583831787,6.75725269317627,12.9269189834595,8.07932472229004,-79.9926528930664,0.009181000292301,2.33321094512939,7.54804992675781,14.4056797027588
347,2021年11月26日08时55分40秒,1.10172605514526,0.734484016895294,0,685.945678710938,0,12.0455379486084,0.185677573084831,17.6276168823242,21.1531410217285,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.1641578674316,7.49173736572266,9.54829216003418,6.75725269317627,12.9269189834595,8.07932472229004,-79.9926528930664,0.009181000292301,2.3234179019928,7.39625549316406,14.415472984314
348,2021年11月26日08时56分00秒,1.00379478931427,2.20345211029053,0,685.945678710938,0,12.4862279891968,0.185677573084831,17.6276168823242,21.1531410217285,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.49173736572266,9.84208583831787,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.31117630004883,7.54804992675781,14.4056797027588
349,2021年11月26日08时56分20秒,1.05276048183441,0.734484016895294,0,685.945678710938,0,12.1924352645874,0.185285851359367,17.6276168823242,21.3000373840332,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.0172605514526,7.34484052658081,9.25449943542481,6.61035585403442,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.30015921592712,7.62393951416016,14.4056797027588
350,2021年11月26日08时56分40秒,1.10172605514526,0,0.033003248274326,685.945678710938,0,12.9269189834595,0.185677573084831,17.6276168823242,20.8593463897705,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.49173736572266,9.54829216003418,6.61035585403442,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.29036593437195,7.62393951416016,14.4056797027588
351,2021年11月26日08时57分00秒,1.10172605514526,0,0.055005412548781,685.945678710938,0,12.7800216674805,0.185677573084831,17.6276168823242,21.3000373840332,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,8.07932472229004,8.81380844116211,11.1641578674316,7.49173736572266,9.54829216003418,6.75725269317627,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.27567625045776,7.39625549316406,14.415472984314
352,2021年11月26日08时57分20秒,1.10172605514526,0,0.011001082137227,685.945678710938,0,12.7800216674805,0.185677573084831,17.3338222503662,21.3000373840332,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.1641578674316,7.34484052658081,9.84208583831787,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.26588320732117,7.54804992675781,14.4056797027588
353,2021年11月26日08时57分40秒,1.05276048183441,0,0.011001082137227,685.945678710938,0,12.9269189834595,0.185285851359367,17.3338222503662,21.1531410217285,15.7112264633179,16.1894054412842,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.0172605514526,7.49173736572266,9.54829216003418,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.26221084594727,7.62393951416016,14.415472984314
354,2021年11月26日08时58分00秒,1.12620878219605,0.734484016895294,0.011001082137227,685.945678710938,1.29728245735168,13.2207117080688,0.178626522421837,17.3338222503662,21.3000373840332,14.31494140625,15.4816989898682,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.0172605514526,7.78553056716919,9.25449943542481,6.75725269317627,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.25609016418457,7.62393951416016,14.415472984314
355,2021年11月26日08时58分20秒,1.00379478931427,0.734484016895294,0.011001082137227,685.945739746094,1.00869143009186,12.9269189834595,0.187636181712151,18.6558952331543,20.8593463897705,15.0035200119019,15.7686071395874,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.49173736572266,9.84208583831787,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.26221084594727,7.54804992675781,14.415472984314
356,2021年11月26日08时58分40秒,56.2492370605469,128.534713745117,1.96919369697571,685.947448730469,0.970131039619446,12.7800216674805,0.185677573084831,19.8310680389404,21.3000373840332,14.6018486022949,15.3860635757446,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.1641578674316,7.49173736572266,9.25449943542481,6.75725269317627,12.6331253051758,8.22622108459473,-79.9926528930664,0.009181000292301,2.26221084594727,7.54804992675781,14.415472984314
357,2021年11月26日08时59分00秒,63.4716644287109,329.048828125,4.90648317337036,685.967102050781,0.958501636981964,12.4862279891968,0.198212757706642,20.4186553955078,21.3000373840332,14.5635948181152,15.7686071395874,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.49173736572266,9.54829216003418,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.26221084594727,7.77574157714844,14.4056797027588
358,2021年11月26日08时59分20秒,65.4302825927734,398.09033203125,5.97358703613281,685.998107910156,0.950544774532318,12.1924352645874,0.229942470788956,21.1531410217285,21.5938301086426,15.8833703994751,15.9981327056885,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.0172605514526,7.49173736572266,9.25449943542481,6.75725269317627,12.6331253051758,8.22622108459473,-79.9926528930664,0.009181000292301,2.25976252555847,7.92752838134766,14.415472984314
359,2021年11月26日08时59分40秒,65.479248046875,400.293823242188,5.97358703613281,686.031372070313,0.944424033164978,12.9269189834595,0.256188035011291,21.887622833252,21.887622833252,16.6675834655762,15.6538438796997,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.1641578674316,7.49173736572266,9.84208583831787,7.05104637145996,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.25609016418457,7.77574157714844,14.4056797027588
360,2021年11月26日09时00分00秒,65.479248046875,400.293823242188,5.99559020996094,686.064392089844,0.939527451992035,13.2207117080688,0.273815661668777,22.0345211029053,21.887622833252,16.4189300537109,15.7686071395874,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.1641578674316,7.78553056716919,9.84208583831787,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.25609016418457,7.62393951416016,14.4056797027588
361,2021年11月26日09时00分20秒,65.6016616821289,398.09033203125,6.02859306335449,686.097534179688,0.935855031013489,13.8082990646362,0.298102587461472,22.6221084594727,22.0345211029053,16.3232955932617,15.6538438796997,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.0172605514526,7.49173736572266,9.54829216003418,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.25364184379578,7.62393951416016,14.4056797027588
362,2021年11月26日09时00分40秒,65.5526962280274,401.762756347656,6.02859306335449,686.130554199219,0.932794749736786,13.8082990646362,0.321606069803238,22.6221084594727,22.3283157348633,16.4763145446777,15.4625730514526,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.49173736572266,9.54829216003418,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.25364184379578,7.62393951416016,14.4056797027588
363,2021年11月26日09时01分00秒,65.5282135009766,400.293823242188,6.02859306335449,686.167236328125,0.930958449840546,14.2489910125732,0.33884197473526,22.6221084594727,22.3283157348633,16.132022857666,15.5199537277222,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.1641578674316,7.34484052658081,9.25449943542481,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.25609016418457,7.77574157714844,14.4056797027588
364,2021年11月26日09时01分20秒,66.43408203125,460.521484375,6.8976788520813,686.202331542969,0.929122269153595,14.9834747314453,0.359995096921921,22.7690048217773,22.6221084594727,16.0363883972168,15.577335357666,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.1641578674316,7.78553056716919,9.25449943542481,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.25119352340698,7.92752838134766,14.4056797027588
365,2021年11月26日09时01分40秒,67.0461502075195,499.449127197266,7.48073530197144,686.239318847656,0.926674008369446,15.4241647720337,0.387415856122971,22.7690048217773,22.6221084594727,16.1702785491943,15.5582075119019,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.1641578674316,7.49173736572266,9.25449943542481,6.75725269317627,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.24874520301819,7.92752838134766,14.4056797027588
366,2021年11月26日09时02分00秒,66.997184753418,499.449127197266,7.53574132919312,686.280822753906,0.926061928272247,15.4241647720337,0.416403502225876,23.3565902709961,22.6221084594727,16.0937690734863,15.4625730514526,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.49173736572266,9.54829216003418,6.75725269317627,12.6331253051758,8.22622108459473,-79.9926528930664,0.009181000292301,2.24874520301819,8.00342559814453,14.415472984314
367,2021年11月26日09时02分20秒,66.997184753418,499.449127197266,7.48073530197144,686.326477050781,0.923613667488098,16.4524421691895,0.443432480096817,23.7972831726074,22.7690048217773,16.0746421813965,15.4243183135986,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.78553056716919,9.84208583831787,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.24752116203308,8.00342559814453,14.4056797027588
368,2021年11月26日09时02分40秒,66.8258056640625,497.245697021484,7.46973514556885,686.367980957031,0.923001646995544,16.4524421691895,0.463802188634872,24.0910758972168,23.0627975463867,15.8451156616211,15.577335357666,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.1641578674316,7.78553056716919,9.25449943542481,6.75725269317627,12.6331253051758,8.22622108459473,-79.9926528930664,0.009181000292301,2.24874520301819,8.00342559814453,14.4056797027588
369,2021年11月26日09时03分00秒,66.8747711181641,502.387084960938,7.48073530197144,686.405334472656,0.921777486801147,17.1869258880615,0.487305700778961,24.0910758972168,23.0627975463867,15.6729707717896,15.61559009552,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.0172605514526,7.78553056716919,9.84208583831787,6.75725269317627,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.24874520301819,7.92752838134766,14.4056797027588
370,2021年11月26日09时03分20秒,66.8258056640625,499.449127197266,7.48073530197144,686.446838378906,0.919941186904907,17.4807186126709,0.513159513473511,24.2379722595215,23.3565902709961,15.61559009552,15.577335357666,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.0172605514526,7.78553056716919,9.84208583831787,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.25119352340698,7.92752838134766,14.4056797027588
371,2021年11月26日09时03分40秒,66.7033920288086,498.714660644531,7.48073530197144,686.492492675781,0.919941186904907,17.9214096069336,0.539405047893524,24.2379722595215,23.0627975463867,15.577335357666,15.5199537277222,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.0172605514526,7.78553056716919,9.54829216003418,6.75725269317627,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.24874520301819,8.15522003173828,14.4056797027588
372,2021年11月26日09时04分00秒,68.1478729248047,603.011352539063,9.00988578796387,686.53173828125,0.918717086315155,17.6276168823242,0.564083755016327,24.8255615234375,23.5034885406494,15.4816989898682,15.5582075119019,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.0172605514526,7.78553056716919,9.84208583831787,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.24874520301819,8.00342559814453,14.4056797027588
373,2021年11月26日09时04分20秒,70.9389114379883,807.932434082031,12.156195640564,686.589904785156,0.917492985725403,18.3621006011963,0.604823112487793,24.8255615234375,23.5034885406494,15.61559009552,15.6538438796997,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.0172605514526,7.78553056716919,9.25449943542481,6.75725269317627,13.2207117080688,8.52001476287842,-79.9926528930664,0.009181000292301,2.24874520301819,8.15522003173828,14.4056797027588
374,2021年11月26日09时04分40秒,72.040641784668,899.008422851563,13.4543228149414,686.670104980469,0.917492985725403,18.9496879577637,0.639686644077301,24.9724559783936,23.7972831726074,16.4571876525879,15.3860635757446,0.000184000004083,0.000184000004083,8.07932472229004,9.25449943542481,11.1641578674316,7.78553056716919,9.54829216003418,7.05104637145996,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.24752116203308,7.92752838134766,14.4056797027588
375,2021年11月26日09时05分00秒,71.9916763305664,906.353271484375,13.5423316955566,686.745300292969,0.916880905628204,18.6558952331543,0.572701692581177,25.2662506103516,23.5034885406494,15.8833703994751,16.0937690734863,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.0172605514526,7.78553056716919,9.84208583831787,6.75725269317627,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.24507284164429,7.92752838134766,14.4056797027588
