,Unnamed: 0,T_in,T_out,Current,Voltage,LyeFlow
0,500,60.08079528808594,82.62945556640625,1699.228759765625,67.95201110839844,1.3609375953674316
1,501,60.08079528808594,82.5560073852539,1694.8218994140625,67.97650146484375,1.3609375953674316
2,502,60.08079528808594,82.70289993286133,1694.8218994140625,67.97650146484375,1.3609375953674316
3,503,60.08079528808594,82.62945556640625,1698.494384765625,67.82959747314453,1.3609375953674316
4,504,60.08079528808594,82.62945556640625,1702.1666259765625,67.90304565429688,1.3609375953674316
5,505,60.08079528808594,82.62945556640625,1699.228759765625,67.95201110839844,1.3609375953674316
6,506,60.08079528808594,82.70289993286133,1702.9012451171875,67.95201110839844,1.3609375953674316
7,507,60.08079528808594,82.84979629516602,1691.884033203125,67.95201110839844,1.3609375953674316
8,508,60.08079528808594,82.4825553894043,1704.3702392578125,67.97650146484375,1.3603256940841677
9,509,60.08079528808594,82.70289993286133,1704.3702392578125,67.97650146484375,1.3609375953674316
10,510,59.7869987487793,82.77635192871094,1694.8218994140625,67.85408020019531,1.3603256940841677
11,511,60.37458419799805,82.84979629516602,1698.494384765625,67.95201110839844,1.3609375953674316
12,512,60.08079528808594,82.84979629516602,1698.494384765625,67.97650146484375,1.3609375953674316
13,513,60.08079528808594,82.9966926574707,1694.8218994140625,67.97650146484375,1.3609375953674316
14,514,60.08079528808594,82.9966926574707,1699.228759765625,67.85408020019531,1.3609375953674316
15,515,60.37458419799805,82.84979629516602,1698.494384765625,67.90304565429688,1.3603256940841677
16,516,60.08079528808594,82.84979629516602,1702.9012451171875,67.97650146484375,1.3609375953674316
17,517,60.37458419799805,82.70289993286133,1693.3529052734375,67.97650146484375,1.3609375953674316
18,518,60.37458419799805,82.62945556640625,1699.228759765625,67.90304565429688,1.3621617555618286
19,519,59.7869987487793,82.70289993286133,1700.69775390625,67.90304565429688,1.3609375953674316
20,520,60.37458419799805,82.84979629516602,1695.5562744140625,67.95201110839844,1.3609375953674316
21,521,60.37458419799805,82.62945556640625,1699.228759765625,67.90304565429688,1.3609375953674316
22,522,60.08079528808594,82.70289993286133,1699.228759765625,67.85408020019531,1.3609375953674316
23,523,60.08079528808594,82.62945556640625,1698.494384765625,67.90304565429688,1.3609375953674316
24,524,59.7869987487793,82.70289993286133,1698.494384765625,67.97650146484375,1.3609375953674316
25,525,60.08079528808594,82.70289993286133,1697.025390625,67.85408020019531,1.3609375953674316
26,526,60.08079528808594,82.62945556640625,1702.9012451171875,67.90304565429688,1.3609375953674316
27,527,60.37458419799805,82.70289993286133,1700.69775390625,67.97650146484375,1.3609375953674316
28,528,59.7869987487793,82.62945556640625,1699.228759765625,67.95201110839844,1.3609375953674316
29,529,60.08079528808594,82.84979629516602,1699.228759765625,67.85408020019531,1.3609375953674316
30,530,60.08079528808594,82.70289993286133,1698.494384765625,67.90304565429688,1.3609375953674316
31,531,59.7869987487793,82.62945556640625,1695.5562744140625,67.95201110839844,1.3609375953674316
32,532,60.08079528808594,82.84979629516602,1698.494384765625,67.85408020019531,1.3603256940841677
33,533,59.7869987487793,82.62945175170898,1697.025390625,67.85408020019531,1.3603256940841677
34,534,60.08079528808594,82.70289993286133,1704.3702392578125,67.95201110839844,1.3603256940841677
35,535,59.64010238647461,82.70289993286133,1702.1666259765625,67.97650146484375,1.3603256940841677
36,536,60.08079528808594,82.62945556640625,1697.025390625,67.85408020019531,1.3609375953674316
37,537,59.7869987487793,82.70289993286133,1700.69775390625,67.95201110839844,1.3609375953674316
38,538,59.7869987487793,82.62945175170898,1698.494384765625,67.95201110839844,1.3609375953674316
39,539,60.08079528808594,82.40910720825195,1699.228759765625,67.97650146484375,1.3609375953674316
40,540,59.64010238647461,82.5560073852539,1697.025390625,67.90304565429688,1.3609375953674316
41,541,59.64010238647461,82.5560073852539,1700.69775390625,67.95201110839844,1.3603256940841677
42,542,59.7869987487793,82.5560073852539,1698.494384765625,67.97650146484375,1.3603256940841677
43,543,59.7869987487793,82.40910720825195,1702.1666259765625,67.90304565429688,1.3609375953674316
44,544,59.7869987487793,82.40910720825195,1702.1666259765625,67.90304565429688,1.3609375953674316
45,545,59.346309661865234,82.5560073852539,1697.025390625,67.97650146484375,1.3609375953674316
46,546,59.346309661865234,82.5560073852539,1699.228759765625,67.95201110839844,1.3609375953674316
47,547,59.346309661865234,82.40910720825195,1697.025390625,67.90304565429688,1.3609375953674316
48,548,59.052513122558594,82.62945175170898,1694.8218994140625,67.95201110839844,1.3603256940841677
49,549,59.346309661865234,82.5560073852539,1698.494384765625,67.97650146484375,1.3591015338897705
50,550,59.64010238647461,82.26221084594727,1697.025390625,67.95201110839844,1.3603256940841677
51,551,59.346309661865234,82.40910720825195,1700.69775390625,67.95201110839844,1.3609375953674316
52,552,59.052513122558594,82.5560073852539,1704.3702392578125,67.95201110839844,1.3603256940841677
53,553,59.346309661865234,82.26221084594727,1700.69775390625,68.02546691894531,1.3609375953674316
54,554,59.346309661865234,82.5560073852539,1700.69775390625,67.97650146484375,1.3603256940841677
55,555,59.346309661865234,82.5560073852539,1698.494384765625,67.95201110839844,1.3609375953674316
56,556,59.346309661865234,82.26221084594727,1695.5562744140625,68.02546691894531,1.3603256940841677
57,557,59.052513122558594,82.5560073852539,1695.5562744140625,67.97650146484375,1.3609375953674316
58,558,59.346309661865234,82.40911102294922,1702.1666259765625,67.95201110839844,1.3609375953674316
59,559,59.052513122558594,82.5560073852539,1695.5562744140625,67.95201110839844,1.3609375953674316
60,560,59.052513122558594,82.26221084594727,1702.9012451171875,67.97650146484375,1.3609375953674316
