,T_in,T_out,Current,Voltage,LyeFlow
90,32.9048843383789,40.7638645172119,1001.10168457031,68.6375350952148,0.855061769485474
91,33.1986770629883,41.2045555114746,998.898254394531,68.6375350952148,0.855061769485474
92,33.4924697875977,41.2045555114746,1002.57067871094,68.4661483764648,0.853837668895721
93,33.4924697875977,41.3514518737793,1001.10168457031,68.564079284668,0.853225588798523
94,33.933162689209,41.79213905334475,999.632751464844,68.4661483764648,0.852001428604126
95,34.2269554138184,42.0124855041504,999.632751464844,68.392707824707,0.850777328014374
96,34.5207481384277,42.2328319549561,1001.10168457031,68.3437423706055,0.850165247917175
97,34.9614372253418,42.379726409912095,999.632751464844,68.3437423706055,0.848941147327423
98,35.2552337646484,42.74696922302245,998.898254394531,68.3192520141602,0.848941147327423
99,35.2552337646484,42.9673137664795,1003.30511474609,68.2702865600586,0.847716987133026
100,35.4021301269531,42.9673137664795,1001.10168457031,68.1968383789063,0.847104907035828
101,35.6959228515625,43.261110305786104,1001.10168457031,68.0744323730469,0.847104907035828
102,35.9897155761719,43.48145484924315,999.632751464844,67.9765014648438,0.845880746841431
103,36.4304046630859,43.848697662353544,998.898254394531,67.9765014648438,0.845880746841431
104,36.8710975646973,43.99559211730955,1001.10168457031,67.9520111083984,0.844656586647034
105,36.8710975646973,44.2893867492676,998.898254394531,67.9030456542969,0.844656586647034
106,37.1648902893066,44.4362850189209,1001.10168457031,67.8540802001953,0.84404456615448
107,37.4586868286133,44.7300777435303,998.898254394531,67.8540802001953,0.844656586647034
108,37.4586868286133,45.1707668304443,998.898254394531,67.780632019043,0.844656586647034
109,38.1931686401367,45.097318649292,1001.10168457031,67.7316665649414,0.84404456615448
110,38.1931686401367,45.6114559173584,998.898254394531,67.6092529296875,0.842820405960083
111,38.6338577270508,45.83180236816405,1002.57067871094,67.5847702026367,0.841596245765686
112,38.9276542663574,45.83180236816405,1001.10168457031,67.5847702026367,0.841596245765686
113,38.6338577270508,46.0521469116211,1001.10168457031,67.4868392944336,0.840984225273132
114,39.0745506286621,46.34594345092775,999.632751464844,67.437873840332,0.839760065078735
115,39.0745506286621,46.7866325378418,998.898254394531,67.3644256591797,0.839760065078735
116,39.8090324401855,46.9335269927979,999.632751464844,67.3644256591797,0.838535964488983
117,39.6621360778809,47.15387344360355,997.429321289063,67.3644256591797,0.837923884391785
118,40.3966217041016,47.3742198944092,998.898254394531,67.2909774780274,0.836699724197388
119,40.3966217041016,47.5211181640625,1001.10168457031,67.1930465698242,0.835475564002991
120,40.8373107910156,47.8149070739746,999.632751464844,67.1685638427734,0.834863483905792
121,40.8373107910156,48.0352554321289,1002.57067871094,67.0706329345703,0.83363938331604
122,41.1311073303223,48.25559997558595,997.429321289063,67.1685638427734,0.83363938331604
123,41.4249000549316,48.3290500640869,1001.10168457031,67.0706329345703,0.831803143024445
124,41.5717926025391,48.7697410583496,1001.10168457031,66.997184753418,0.831803143024445
125,41.8655891418457,48.4759464263916,999.632751464844,66.9237365722656,0.830579042434692
126,41.8655891418457,49.136980056762695,1001.10168457031,66.8747711181641,0.828742861747742
127,42.306282043457,49.283878326416,999.632751464844,66.8747711181641,0.827518701553345
128,42.6000747680664,49.50422477722165,995.960327148438,66.6789093017578,0.826294481754303
129,42.8938674926758,49.65112113952635,1002.57067871094,66.6299438476563,0.825682401657105
130,43.0407638549805,49.651119232177706,999.632751464844,66.5809783935547,0.824458301067352
131,43.3345565795898,49.651119232177706,1002.57067871094,66.5564956665039,0.8232342004776
132,43.6283531188965,49.8714656829834,999.632751464844,66.4585647583008,0.824458301067352
133,43.6283531188965,49.7245674133301,999.632751464844,66.3851165771484,0.8232342004776
134,43.6283531188965,49.8714656829834,1003.30511474609,66.3361511230469,0.824458301067352
135,44.3628349304199,50.75284576416015,1001.10168457031,66.3851165771484,0.824458301067352
136,44.3628349304199,51.48733139038085,1001.10168457031,66.3116607666016,0.8232342004776
137,44.803524017334,51.63422775268555,1002.57067871094,66.2626953125,0.8232342004776
138,44.5097312927246,51.8545722961426,999.632751464844,66.2626953125,0.8232342004776
139,45.0973205566406,52.2218132019043,1001.10168457031,66.2626953125,0.8232342004776
140,45.0973205566406,52.51560974121095,998.898254394531,66.1402893066406,0.8232342004776
141,45.2442169189453,52.73595237731935,999.632751464844,66.1892547607422,0.8232342004776
142,45.8318023681641,52.95629501342775,1001.10168457031,66.0913238525391,0.8232342004776
143,45.9786987304688,53.10319328308105,999.632751464844,66.0668334960937,0.8232342004776
144,46.2724952697754,53.3235397338867,1001.10168457031,66.0668334960937,0.8232342004776
145,46.2724952697754,53.690780639648395,1002.57067871094,66.0178756713867,0.8232342004776
146,46.8600807189941,53.9845733642578,1002.57067871094,65.9689102172852,0.8232342004776
147,47.0069770812988,53.9111270904541,999.632751464844,66.0178756713867,0.8232342004776
148,47.0069770812988,54.42526626586915,999.632751464844,65.8954544067383,0.8232342004776
149,47.3007698059082,54.6456127166748,999.632751464844,65.8464889526367,0.8232342004776
190,55.3800964355469,66.69115066528326,1502.75427246094,67.9765014648438,0.8232342004776
191,55.3800964355469,66.98494338989255,1499.81640625,67.9520111083984,0.8232342004776
192,56.1145782470703,67.57252883911136,1501.28527832031,67.8540802001953,0.8232342004776
193,56.4083709716797,67.719425201416,1501.28527832031,67.8295974731445,0.8232342004776
194,56.1145782470703,68.01322174072266,1499.81640625,67.7316665649414,0.8232342004776
195,56.7021675109863,68.45391082763669,1499.81640625,67.780632019043,0.8232342004776
196,57.1428565979004,68.6008071899414,1497.61291503906,67.6092529296875,0.8232342004776
