,position,CurrentDensity,Step,StepDirection,error,error_corrected,StepTime
0,1,3500,400,down,-0.0006059577258958893,0.0021995320514456213,120
1,1,3500,400,down,-0.0006059577258958893,0.0021995320514456213,120
2,1,3500,400,down,-0.0014010017935226493,0.0014044879838188613,120
3,1,3500,400,down,-0.0014010017935226493,0.0014044879838188613,120
4,1,3500,400,down,-0.0014010017935226493,0.0014044879838188613,120
5,1,3500,400,down,-0.0014010017935226493,0.0014044879838188613,120
6,1,3500,400,down,-0.0014010017935226493,0.0014044879838188613,120
7,1,3500,400,down,-0.0018631792719507878,0.0009423105053907228,120
8,1,3500,400,down,-0.0018631792719507878,0.0009423105053907228,120
9,1,3500,400,down,-0.0018631792719507878,0.0009423105053907228,120
10,1,3500,400,down,-0.0018631792719507878,0.0009423105053907228,120
11,1,3500,400,down,-0.0018631792719507878,0.0009423105053907228,120
12,1,3500,400,down,-0.0015951088513479483,0.0012103809259935623,120
13,1,3500,400,down,-0.0015951088513479483,0.0012103809259935623,120
14,1,3500,400,down,-0.0015951088513479483,0.0012103809259935623,120
15,1,3500,400,down,-0.0015951088513479483,0.0012103809259935623,120
16,1,3500,400,down,-0.0015951088513479483,0.0012103809259935623,120
17,1,3500,400,down,0.0006989774101702206,0.0035044671875117312,120
18,1,3500,400,down,0.0006989774101702206,0.0035044671875117312,120
19,1,3500,400,down,0.0006989774101702206,0.0035044671875117312,120
20,1,3500,400,down,0.0006989774101702206,0.0035044671875117312,120
21,1,3500,400,down,0.0006989774101702206,0.0035044671875117312,120
22,1,3500,400,down,-0.0020289285434025306,0.00077656123393898,120
23,1,3500,400,down,-0.0020289285434025306,0.00077656123393898,120
24,1,3500,400,down,-0.0020289285434025306,0.00077656123393898,120
25,1,3500,400,down,-0.0020289285434025306,0.00077656123393898,120
26,1,3500,400,down,-0.0020289285434025306,0.00077656123393898,120
27,1,3500,400,down,-0.002707842989635445,9.764678770606558e-05,120
28,1,3500,400,down,-0.002707842989635445,9.764678770606558e-05,120
29,1,3500,400,down,-0.002707842989635445,9.764678770606558e-05,120
30,1,3500,400,down,-0.002707842989635445,9.764678770606558e-05,120
31,1,3500,400,down,-0.002707842989635445,9.764678770606558e-05,120
32,1,3500,400,down,-0.002877519225679137,-7.20294483376265e-05,120
33,1,3500,400,down,-0.002877519225679137,-7.20294483376265e-05,120
34,1,3500,400,down,-0.002877519225679137,-7.20294483376265e-05,120
35,2,3500,400,up,0.0013267390339821716,0.004132228811323682,120
36,2,3500,400,up,0.0013267390339821716,0.004132228811323682,120
37,2,3500,400,up,0.0013267390339821716,0.004132228811323682,120
38,2,3500,400,up,0.0013267390339821716,0.004132228811323682,120
39,2,3500,400,up,0.0013267390339821716,0.004132228811323682,120
40,2,3500,400,up,0.002879813360169514,0.005685303137511024,120
41,2,3500,400,up,0.002879813360169514,0.005685303137511024,120
42,2,3500,400,up,0.002879813360169514,0.005685303137511024,120
43,2,3500,400,up,0.002879813360169514,0.005685303137511024,120
44,2,3500,400,up,0.002879813360169514,0.005685303137511024,120
45,2,3500,400,up,0.0037263643656459955,0.006531854142987506,120
46,2,3500,400,up,0.0037263643656459955,0.006531854142987506,120
47,2,3500,400,up,0.0037263643656459955,0.006531854142987506,120
48,2,3500,400,up,0.0037263643656459955,0.006531854142987506,120
49,2,3500,400,up,0.0037263643656459955,0.006531854142987506,120
50,2,3500,400,up,0.0022862039508941834,0.0050916937282356935,120
51,2,3500,400,up,0.0022862039508941834,0.0050916937282356935,120
52,2,3500,400,up,0.0022862039508941834,0.0050916937282356935,120
53,2,3500,400,up,0.0022862039508941834,0.0050916937282356935,120
54,2,3500,400,up,0.0022862039508941834,0.0050916937282356935,120
55,2,3500,400,up,0.000562190404679086,0.0033676801820205966,120
56,2,3500,400,up,0.000562190404679086,0.0033676801820205966,120
57,2,3500,400,up,0.000562190404679086,0.0033676801820205966,120
58,2,3500,400,up,0.000562190404679086,0.0033676801820205966,120
59,2,3500,400,up,0.000562190404679086,0.0033676801820205966,120
60,2,3500,400,up,-0.00015788980269704211,0.0026475999746444685,120
61,2,3500,400,up,-0.00015788980269704211,0.0026475999746444685,120
62,2,3500,400,up,-0.00015788980269704211,0.0026475999746444685,120
63,2,3500,400,up,-0.00015788980269704211,0.0026475999746444685,120
64,2,3500,400,up,-0.00015788980269704211,0.0026475999746444685,120
65,2,3500,400,up,0.002267562346037977,0.005073052123379487,120
66,2,3500,400,up,0.002267562346037977,0.005073052123379487,120
67,2,3500,400,up,0.002267562346037977,0.005073052123379487,120
68,2,3500,400,up,0.002267562346037977,0.005073052123379487,120
69,2,3500,400,up,0.002267562346037977,0.005073052123379487,120
70,3,3500,400,down,-0.0008260185595805325,0.001979471217760978,120
71,3,3500,400,down,-0.0008260185595805325,0.001979471217760978,120
72,3,3500,400,down,-0.0008260185595805325,0.001979471217760978,120
73,3,3500,400,down,-0.0008260185595805325,0.001979471217760978,120
74,3,3500,400,down,-0.0008260185595805325,0.001979471217760978,120
75,3,3500,400,down,0.002595403075204672,0.005400892852546182,120
76,3,3500,400,down,0.002595403075204672,0.005400892852546182,120
77,3,3500,400,down,0.002595403075204672,0.005400892852546182,120
78,3,3500,400,down,0.002595403075204672,0.005400892852546182,120
79,3,3500,400,down,0.002595403075204672,0.005400892852546182,120
80,3,3500,400,down,0.002609251173483207,0.005414740950824717,120
81,3,3500,400,down,0.002609251173483207,0.005414740950824717,120
82,3,3500,400,down,0.002609251173483207,0.005414740950824717,120
83,3,3500,400,down,0.002609251173483207,0.005414740950824717,120
