,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_nn,polar_lh,polar_wtt,polar_shg,dTout_WL,V_static,V_dynamic
1289,1289,1289,1289,1289,1289,2021年10月01日17时39分40秒,68.4416732788086,1598.6044921875,-9999,-9999,1.26178240776062,58.17113494873047,0.9877341389656068,75.65185546875,72.86080932617188,15.979005813598633,15.366936683654783,0.7261598706245422,0.0954829230904579,104.2967300415039,71.09805297851562,31.58281135559082,25.560043334960938,32.46419143676758,24.972455978393555,270.2901306152344,59.7869987487793,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.012990390553194,1598.6044921875,3761.422334558824,0.9877341389656068,58.17113494873047,72.86080932617188,75.65185546875,74.25633239746094,1.26178240776062,1.26178240776062,0.7344970703125,1.7282284007352942,0.0028803208295036,0.3672409057617187,0.7261598706245422,0.0954829230904579,2.0207443237304688,2.013553511545318,2.0221496059489805,2.0250603049877807,0.1951017107290766,2.020596981048584,-0.00760659049538992
1290,1290,1290,1290,1290,1290,2021年10月01日17时40分00秒,68.39270782470703,1597.8699951171875,-9999,-9999,1.2623944282531738,58.31803131103516,0.9454278349876404,75.94564819335938,72.86080932617188,16.074642181396484,15.366936683654783,0.7080426216125488,0.0954829230904579,103.56224822998048,70.06977844238281,31.58281135559082,25.560043334960938,32.31729888916016,24.972455978393555,269.1149597167969,59.7869987487793,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.0115502301384423,1597.8699951171875,3759.694106158088,0.9454278349876404,58.31803131103516,72.86080932617188,75.94564819335938,74.40322875976562,1.2623944282531738,1.2623944282531738,-0.7344970703125,-1.7282284007352942,-0.0014401604147518,0.1468963623046875,0.7080426216125488,0.0954829230904579,2.020315647125244,2.0131460606920952,2.021320029945639,2.0240325945485336,0.1673401511691992,2.0200283527374268,-0.008478122598984505
1291,1291,1291,1291,1291,1291,2021年10月01日17时40分20秒,68.34374237060547,1598.6044921875,-9999,-9999,1.26178240776062,58.17113494873047,1.024556279182434,76.23944091796875,73.30150604248047,15.32868194580078,15.940752029418944,0.6943322420120239,0.0954829230904579,101.06500244140624,69.33528900146484,31.58281135559082,25.26625061035156,32.02350234985352,24.8255615234375,268.086669921875,62.72493743896485,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.0101100697236904,1598.6044921875,3761.422334558824,1.024556279182434,58.17113494873047,73.30150604248047,76.23944091796875,74.77047348022461,1.26178240776062,1.26178240776062,0.7344970703125,1.7282284007352942,-0.0014401604147518,0.3672447204589844,0.6943322420120239,0.0954829230904579,2.020311117172241,2.0125936356690435,2.019851262429764,2.0231054434638294,0.2242623986872871,2.020358085632324,-0.010248015908633779
1292,1292,1292,1292,1292,1292,2021年10月01日17时40分40秒,68.31925201416016,1597.8699951171875,-9999,-9999,1.3376790285110474,58.61182403564453,1.0472763776779177,76.38633728027344,73.0077133178711,15.90249729156494,15.08002758026123,0.6967805027961731,0.0954829230904579,99.15534210205078,69.77598571777344,31.58281135559082,25.26625061035156,32.31729888916016,24.8255615234375,267.93975830078125,65.66287231445312,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.0093897651223576,1597.8699951171875,3759.694106158088,1.0472763776779177,58.61182403564453,73.0077133178711,76.38633728027344,74.69702529907227,1.3376790285110474,1.3376790285110474,-0.7344970703125,-1.7282284007352942,-0.0007203046013328,-0.0734481811523437,0.6967805027961731,0.0954829230904579,2.022245407104492,2.01259963201521,2.020006277013984,2.022789228712345,0.1590405210513097,2.0222325325012207,-0.01284276737886314
1293,1293,1293,1293,1293,1293,2021年10月01日17时41分00秒,68.46614837646484,1601.5423583984375,-9999,-9999,1.3425755500793457,58.90562057495117,0.9540457725524902,76.38633728027344,73.74219512939453,15.74948024749756,15.424318313598633,0.6918839812278748,0.0954829230904579,96.65809631347656,71.09805297851562,31.43591690063477,25.119354248046875,32.02350234985352,24.8255615234375,268.086669921875,68.89459991455078,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.013710246366613,1601.5423583984375,3768.3349609375,0.9540457725524902,58.90562057495117,73.74219512939453,76.38633728027344,75.06426620483398,1.3425755500793457,1.3425755500793457,3.67236328125,8.640854779411764,0.0043204812442554,0.3672409057617187,0.6918839812278748,0.0954829230904579,2.021825790405273,2.0125735251851458,2.019227357160146,2.021701730631812,0.1775453195290595,2.0218796730041504,-0.008169426637537391
1294,1294,1294,1294,1294,1294,2021年10月01日17时41分20秒,68.39270782470703,1601.5423583984375,-9999,-9999,1.344411849975586,59.052513122558594,1.004186511039734,76.97393035888672,73.74219512939453,15.366936683654783,15.711226463317873,0.6894356608390808,0.0954829230904579,94.45464324951172,73.30150604248047,31.58281135559082,24.8255615234375,32.31729888916016,24.53176689147949,268.3804626464844,72.12632751464844,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.0115502301384423,1601.5423583984375,3768.3349609375,1.004186511039734,59.052513122558594,73.74219512939453,76.97393035888672,75.35806274414062,1.344411849975586,1.344411849975586,0.0,0.0,-0.0021600162281707,0.2937965393066406,0.6894356608390808,0.0954829230904579,2.0216281414031982,2.012049564010251,2.0179027537471503,2.020344186590229,0.1379775775879892,2.021674156188965,-0.010123926050522591
1295,1295,1295,1295,1295,1295,2021年10月01日17时41分40秒,68.34374237060547,1600.0733642578125,-9999,-9999,1.3456358909606934,59.64010238647461,1.0402252674102783,76.97393035888672,74.03599548339844,15.845115661621094,15.04177474975586,0.6943322420120239,0.1042967289686203,92.69188690185548,76.53323364257812,31.58281135559082,24.8255615234375,32.46419143676758,24.237972259521484,269.84942626953125,74.77047729492188,-73.83033752441406,0.0,-9999,-9999,-9999,2.0101100697236904,1600.0733642578125,3764.8785041360297,1.0402252674102783,59.64010238647461,74.03599548339844,76.97393035888672,75.50496292114258,1.3456358909606934,1.3456358909606934,-1.468994140625,-3.4564568014705883,-0.0014401604147518,0.1469001770019531,0.6943322420120239,0.1042967289686203,2.020483493804932,2.011537098114442,2.016891504041063,2.018279671986341,0.1050791837104156,2.020673990249634,-0.010563920525943349
1296,1296,1296,1296,1296,1296,2021年10月01日17时42分00秒,68.39270782470703,1600.0733642578125,-9999,-9999,1.3468600511550903,60.08079528808594,0.9779410362243652,77.41461181640625,74.03599548339844,15.653843879699709,15.366936683654783,0.6904149651527405,0.10331741720438,91.22291564941406,79.17738342285156,31.58281135559082,24.8255615234375,32.31729888916016,24.53176689147949,272.3466796875,76.97393035888672,-73.83033752441406,0.0,-9999,-9999,-9999,2.0115502301384423,1600.0733642578125,3764.8785041360297,0.9779410362243652,60.08079528808594,74.03599548339844,77.41461181640625,75.72530364990234,1.3468600511550903,1.3468600511550903,0.0,0.0,0.0014401604147518,0.2203407287597656,0.6904149651527405,0.10331741720438,2.0196661949157715,2.011155931620139,2.015893791417636,2.016589506906435,0.0694246285287789,2.0196661949157715,-0.008115964777329232
1297,1297,1297,1297,1297,1297,2021年10月01日17时42分20秒,68.34374237060547,1598.6044921875,-9999,-9999,1.3474721908569336,60.815277099609375,0.9646223187446594,77.12081909179688,74.32978057861328,15.577335357666016,15.481698989868164,0.6874770522117615,0.1126208826899528,90.04773712158203,82.40911102294922,31.43591690063477,24.53176689147949,32.31729888916016,24.53176689147949,274.697021484375,79.4711685180664,-73.96743774414062,0.0,-9999,-9999,-9999,2.0101100697236904,1598.6044921875,3761.422334558824,0.9646223187446594,60.815277099609375,74.32978057861328,77.12081909179688,75.72529983520508,1.3474721908569336,1.3474721908569336,-1.4688720703125,-3.4561695772058822,-0.0014401604147518,-3.814697265625e-06,0.6874770522117615,0.1126208826899528,2.0173919200897217,2.0109022083101973,2.0155467043735555,2.0148015321310235,0.0452537089080351,2.017853260040283,-0.007743190316592763
1298,1298,1298,1298,1298,1298,2021年10月01日17时42分40秒,68.19683837890625,1596.401123046875,-9999,-9999,1.3474721908569336,61.109073638916016,1.051977038383484,77.41461181640625,74.47667694091797,15.271300315856934,15.577335357666016,0.6992287635803223,0.1126208826899528,89.01946258544922,85.64083862304688,31.43591690063477,24.53176689147949,32.31729888916016,24.53176689147949,277.4880676269531,81.82151794433594,-74.02619934082031,0.0,-9999,-9999,-9999,2.005789364085478,1596.401123046875,3756.2379365808815,1.051977038383484,61.109073638916016,74.47667694091797,77.41461181640625,75.94564437866211,1.3474721908569336,1.3474721908569336,-2.203369140625,-5.184397977941177,-0.0043207056382126,0.2203445434570312,0.6992287635803223,0.1126208826899528,2.016683578491211,2.0101481171299938,2.0140262935914697,2.012937105718597,0.0276284169436138,2.016508102416992,-0.010718738331514377
