,Unnamed: 0,Time,V,I,H2-production,H2-production-accumulated,Qlye,Tlye,PreSys  ,TO2,TH2,LevelO2,LevelH2,O2inH2,H2inO2,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,DwePoint,微氧量,出罐压力,进罐温度,进罐压力,OriTemp,Power,HeatLyeIn,HeatLyeOut
0,10,2021年10月14日09时33分20秒,1.00379478931427,-15.143468881134483,-9999,-9999,0.0,16.746234893798828,0.1010650023818016,16.452442169189453,17.921409606933594,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.62761688232422,17.186925888061523,16.89313316345215,16.452442169189453,19.83106803894043,17.774513244628906,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.29773566645961,-866.6852675738479,-1.1404190118746387,-1.0530092177813168
1,11,2021年10月14日09时33分40秒,1.0527604818344116,-15.856011156564605,-9999,-9999,0.0,16.746234893798828,0.1010650023818016,16.452442169189453,17.921409606933594,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.59933853149414,18.655895233154297,17.62761688232422,17.186925888061523,16.89313316345215,16.452442169189453,19.24348258972168,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.293490079340796,-911.8420178440699,-1.1746363737254828,-1.0868085076924523
2,12,2021年10月14日09时34分00秒,1.126208782196045,-16.54622846829796,-9999,-9999,0.0,16.746234893798828,0.1010650023818016,16.452442169189453,17.33382225036621,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,16.59933853149414,18.655895233154297,17.62761688232422,17.186925888061523,16.746234893798828,16.452442169189453,19.83106803894043,17.774513244628906,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.280621639998156,-955.7370062041797,-1.2076744629616278,-1.119645782536844
3,13,2021年10月14日09时34分20秒,1.00379478931427,-17.210421328348417,-9999,-9999,0.0,16.746234893798828,0.1002815514802932,16.452442169189453,17.921409606933594,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.24348258972168,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.322107200712193,-998.1303239008107,-1.2394142234822865,-1.1514154692717773
4,14,2021年10月14日09时34分40秒,1.00379478931427,-17.844858856242368,-9999,-9999,0.0,16.452442169189453,0.1010650023818016,16.452442169189453,17.921409606933594,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.949687957763672,17.62761688232422,17.186925888061523,16.452442169189453,16.59933853149414,19.83106803894043,17.774513244628906,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.29428787104,-1038.7885422100596,-1.2697038177802886,-1.1819821596854292
5,15,2021年10月14日09时35分00秒,1.00379478931427,-18.445863542819264,-9999,-9999,0.0,16.158649444580078,0.1010650023818016,16.452442169189453,17.921409606933594,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.62761688232422,17.4807186126709,16.746234893798828,16.452442169189453,19.24348258972168,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.309772425780935,-1077.49559460711,-1.2983409916316584,-1.2111645118182486
6,16,2021年10月14日09时35分20秒,0.9793120622634888,-19.009390221156597,-9999,-9999,0.0,16.452442169189453,0.1010650023818016,16.452442169189453,17.921409606933594,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.313189344182042,-1114.0015646222948,-1.3251486762268192,-1.2388042104218262
7,17,2021年10月14日09时35分40秒,1.126208782196045,-19.53087455913196,-9999,-9999,0.0,16.746234893798828,0.1010650023818016,16.452442169189453,17.62761688232422,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.655895233154297,17.33382225036621,17.186925888061523,17.186925888061523,16.59933853149414,19.83106803894043,17.774513244628906,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.31022081653693,-1148.0070265241502,-1.3499924241652743,-1.264781895983598
8,18,2021年10月14日09时36分00秒,1.0527604818344116,-20.005430444382476,-9999,-9999,0.0,16.746234893798828,0.1010650023818016,16.452442169189453,17.62761688232422,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.53727531433105,17.774513244628906,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.301591706952628,-1179.1853053966495,-1.3727507505673442,-1.2889900797383578
9,19,2021年10月14日09时36分20秒,1.1017260551452637,-20.427666025937484,-9999,-9999,0.0,16.452442169189453,0.1010650023818016,16.452442169189453,17.62761688232422,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.949687957763672,17.62761688232422,17.186925888061523,16.89313316345215,16.452442169189453,19.53727531433105,17.774513244628906,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,17.30894029777777,-1207.160000218754,-1.393348333871097,-1.3113634185737466
